OBJECTID,GEOID10,employment,MBG_Diamet,trtID,res_worker,Shape_Length,Shape_Area
135,22063040902,500.000000000000000,37614.226408199997000,135,2305.000000000000000,129785.999660087980000,411975215.257989350000000
136,22077951900,305.000000000000000,25769.206160800000000,136,2125.000000000000000,73347.349746668930000,161509144.705751210000000
137,22077952000,135.000000000000000,52738.853217999997000,137,935.000000000000000,181755.874387962600000,720885597.315368770000000
138,22077952100,140.000000000000000,34576.999891799998000,138,2395.000000000000000,132489.158519934400000,264374938.382175270000000
139,22077952200,180.000000000000000,17267.672588900001000,139,1430.000000000000000,48769.070441872136000,109591363.338420170000000
140,22077952300,595.000000000000000,4204.838495109999700,140,645.000000000000000,10785.939137628544000,5735313.910392127900000
141,22077952400,265.000000000000000,33012.018555600000000,141,2195.000000000000000,95914.123820517809000,267300848.036200910000000
142,22091951100,90.000000000000000,34267.358735000002000,142,1565.000000000000000,111777.738723416110000,531755751.064280870000000
143,22091951200,210.000000000000000,38267.431756700003000,143,2585.000000000000000,113819.984642474230000,529221571.116822000000000
144,22121020100,2290.000000000000000,3397.207210330000200,144,1060.000000000000000,10421.278319057816000,5351577.251444663900000
145,22121020200,4425.000000000000000,10591.639352400000000,145,1265.000000000000000,34448.606970358931000,41762599.285249606000000
146,22121020300,1125.000000000000000,34569.534393599999000,146,1240.000000000000000,110651.637374464920000,349626749.078910710000000
147,22121020401,2245.000000000000000,15258.595406000000000,147,2400.000000000000000,49750.153815135985000,46600990.274894759000000
148,22121020402,945.000000000000000,15563.237687999999000,148,2235.000000000000000,41884.807198824885000,84479070.191452220000000
149,22125951701,75.000000000000000,48609.686701600003000,149,1110.000000000000000,164984.749665103300000,639500827.475912450000000
150,22125951702,0.000000000000000,20006.245248700001000,150,175.000000000000000,63845.233531332691000,148912532.420942100000000
151,22125951800,250.000000000000000,28292.617201100002000,151,3155.000000000000000,93579.834955462400000,285398549.754977110000000
